State,District,Market,Commodity,Modal_Price,Month,Year
Jharkhand,PALAMU,Daltonganj,Wheat,1895.16,5,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1736.99,6,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1798.08,6,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1814.39,6,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1724.65,7,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1720.48,7,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1783.41,7,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1639.05,8,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1562.93,8,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1603.59,8,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1633.0,9,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1576.78,9,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1668.15,9,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1559.11,10,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1684.17,10,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1662.36,10,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1705.46,11,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1727.91,11,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1631.04,11,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1905.36,12,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1766.16,12,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1852.93,12,2025
